school,questionnaire_url
Adams State,http://my.armssoftware.com/arms/public/questionnaire/0600ab064d24
Alfred University,https://gosaxons.com/sb_output.aspx?form=91
Allen,https://my.armssoftware.com/arms/public/questionnaire/ff4c98b28fd4
Amherst,http://my.armssoftware.com/arms/public/questionnaire/35156960911d
Anderson,https://questionnaires.armssoftware.com/fe05a4f4ac9f
Angelo State,https://angelosports.com/sb_output.aspx?form=3
Arkansas Tech,https://questionnaires.armssoftware.com/b2875e8a1a3b
Arkansas-Monticello,https://uamsports.com/sb_output.aspx?form=4
Ashland,http://my.armssoftware.com/arms/public/questionnaire/fb779b50b416
Augustana,https://questionnaires.armssoftware.com/1c413d0fd3ac
Averett,https://averettcougars.com/sb_output.aspx?form=3
Bates,https://questionnaires.armssoftware.com/b06e3cd6027f
Baylor,https://questionnaires.armssoftware.com/aa72ebcc5cb6
Belhaven,https://blazers.belhaven.edu/sb_output.aspx?form=1
Bemidji State,https://my.armssoftware.com/arms/public/questionnaire/d378f5107aff
Benedict,https://benedicttigers.com/sb_output.aspx?form=5
Black Hills State,https://questionnaires.armssoftware.com/aafd298bc1c3
Bloomsburg,http://my.armssoftware.com/arms/public/questionnaire/d135bff4cb3f
Bluefield State,https://gobstate.com/sb_output.aspx?form=3
Boston College,http://my.armssoftware.com/arms/public/questionnaire/07e441a89486
Bowdoin,https://questionnaires.armssoftware.com/7e48f2f75c8a
Bowie State,https://bsubulldogs.com/sb_output.aspx?form=3
Buffalo State,https://buffalostateathletics.com/sb_output.aspx?form=3
Carleton,https://my.armssoftware.com/arms/public/questionnaire/66ee99a8bb51
Central Oklahoma,https://questionnaires.armssoftware.com/4e64987dd835
Chadron State,https://questionnaires.armssoftware.com/c171cc344985
Chapman (CA),https://athletics.chapman.edu/sb_output.aspx?form=4
Charleston,https://ucgoldeneagles.com/sb_output.aspx?form=3
Chicago,https://questionnaires.armssoftware.com/016abe800298
Claremont-Mudd-Scripps,https://questionnaires.armssoftware.com/419df429a557
Colby,https://my.armssoftware.com/arms/public/questionnaire/acf7831b33e8
Colorado Mesa,https://questionnaires.armssoftware.com/814c80fab2b4
CSU Pueblo,https://gothunderwolves.com/sb_output.aspx?form=4
Davenport,http://my.armssoftware.com/arms/public/questionnaire/b8262114ecdf
Delta State,https://questionnaires.armssoftware.com/730c69ea09a2
Duke,https://my.armssoftware.com/arms/public/questionnaire/ce18b913ae89
East Stroudsburg,http://my.armssoftware.com/arms/public/questionnaire/c096c4aa54b2
Elmhurst,https://questionnaires.armssoftware.com/a30fffca72ca
Emporia State,http://my.armssoftware.com/arms/public/questionnaire/ef1d80bc2212
Fairmont State,https://fightingfalcons.com/sb_output.aspx?form=24
Fayetteville State,https://fsubroncos.com/sb_output.aspx?form=3
Fort Hays State,https://questionnaires.armssoftware.com/b935cea1ff7f
Fort Lewis,https://goskyhawks.com/sb_output.aspx?form=30
Fort Valley State,https://fvsusports.com/sb_output.aspx?form=3
Franklin & Marshall,http://my.armssoftware.com/arms/public/questionnaire/ce4f3c984618
Gannon,https://questionnaires.armssoftware.com/11cb8e611bd3
Georgia,https://my.armssoftware.com/arms/public/questionnaire/7443102ccb8e
Greensboro,https://questionnaires.armssoftware.com/325765a33a5d
Grinnell,https://questionnaires.armssoftware.com/860d951b510a
Hillsdale,https://questionnaires.armssoftware.com/2ecbc53deb6a
Hiram,https://hiramterriers.com/sports/2021/2/5/football-recruit-questionnaire.aspx
Hobart,https://questionnaires.armssoftware.com/3922789553e8
Houston,https://my.armssoftware.com/arms/public/questionnaire/9ff8090d45d9
Illinois,https://questionnaires.armssoftware.com/5c988717357b
Indianapolis,https://my.armssoftware.com/arms/public/questionnaire/571c394ab65d
Johns Hopkins,https://questionnaires.armssoftware.com/f0c7092fb543
Johnson C. Smith,https://goldenbullsports.com/sb_output.aspx?form=3
Kalamazoo,https://questionnaires.armssoftware.com/43d5d2d2b980
Kentucky,https://questionnaires.armssoftware.com/f126180b3c7f
Kentucky State,https://ksuthorobreds.com/sb_output.aspx?form=3
Kentucky Wesleyan,https://my.armssoftware.com/arms/public/questionnaire/a8d24220ab02
Keystone (PA),https://docs.google.com/forms/d/e/1FAIpQLScedN8N5LTlDBddaIIRvr6fRHfp2-5duNval4126lKJS_pc3w/viewform
Kutztown,https://my.armssoftware.com/arms/public/questionnaire/ddd032766ad3
La Verne (CA),https://questionnaires.armssoftware.com/95b07506f5b7
Lake Erie,https://questionnaires.armssoftware.com/ade8956ae640
Lane,https://golcdragons.com/sb_output.aspx?form=3
Lenoir-Rhyne,http://my.armssoftware.com/arms/public/questionnaire/9f87b60990a3
Lincoln (PA),http://my.armssoftware.com/arms/public/questionnaire/cf52f3c2bf63
Livingstone,https://bluebearathletics.com/sb_output.aspx?form=3
Lock Haven,https://questionnaires.armssoftware.com/4b0148820178
Maine Maritime (ME),https://questionnaires.armssoftware.com/671df2766ec0
Marian (WI),https://muknights.com/sb_output.aspx?form=3
Martin Luther,https://docs.google.com/forms/d/e/1FAIpQLSev-FWIx30rE0TIMoX9nBoRhsC0jtCRS72aIIq1yl3djreE4w/viewform
Mary Hardin-Baylor,https://cruathletics.com/sb_output.aspx?form=3
Maryland,https://questionnaires.armssoftware.com/b37f2f0aac44
Maryville (TN),https://mcscots.com/sports/2024/4/2/football-recruiting-form.aspx
McKendree,https://questionnaires.armssoftware.com/7e5d8b9084df
Michigan Tech,https://questionnaires.armssoftware.com/5104c69f22b4
Middlebury,https://athletics.middlebury.edu/sports/2020/6/19/football-recruiting-form
Midwestern State,https://msumustangs.com/sb_output.aspx?form=3
Miles,https://milesgoldenbears.com/sb_output.aspx?form=3
Millersville,https://my.armssoftware.com/arms/public/questionnaire/2177cbab768d
Minnesota State,https://questionnaires.armssoftware.com/cbe67caed9e3
Minnesota State Moorhead,https://msumdragons.com/sb_output.aspx?form=24
Minot State,https://questionnaires.armssoftware.com/496507cb2886
Missouri S&T,https://questionnaires.armssoftware.com/7db0d273d7d8
Missouri Southern,https://questionnaires.armssoftware.com/4fef44d2ab51
Missouri Western,https://questionnaires.armssoftware.com/ed8ddabe798b
MIT,https://questionnaires.armssoftware.com/d22c6482a4b5
Montana,https://questionnaires.armssoftware.com/b0fb10cd0c64
Montana State,http://my.armssoftware.com/arms/public/questionnaire/095d632436ca
Morehouse,https://morehouseathletics.com/sb_output.aspx?form=3
Muhlenberg,https://questionnaires.armssoftware.com/ee1e2fc84d1b
Nichols (MA),http://my.armssoftware.com/arms/public/questionnaire/0e3e5e3ae126
North Central (IL),https://northcentralcardinals.com/sb_output.aspx?form=12
North Dakota State,https://questionnaires.armssoftware.com/8f1dc9c11e14
Northeastern State,https://questionnaires.armssoftware.com/57e2a0e4edc3
Northern Michigan,https://questionnaires.armssoftware.com/2b11e532b55b
Northwest Missouri State,https://questionnaires.armssoftware.com/ba199dbde026
Northwestern Oklahoma State,https://questionnaires.armssoftware.com/0cf702b36e56
Norwich (VT),https://norwichathletics.com/sb_output.aspx?form=3
Oberlin,https://questionnaires.armssoftware.com/e69fe473c327
Oklahoma Baptist,https://questionnaires.armssoftware.com/9abd093a59d1
Ouachita Baptist,https://obutigers.com/sb_output.aspx?form=3
Pacific (OR),http://my.armssoftware.com/arms/public/questionnaire/9f7e57c0db8c
Pacific Lutheran,https://questionnaires.armssoftware.com/592d5a8668d8
PennWest California,https://questionnaires.armssoftware.com/20b6bbced247
PennWest Clarion,http://my.armssoftware.com/arms/public/questionnaire/e2546a7174c3
PennWest Edinboro,https://questionnaires.armssoftware.com/e8af82bc02e1
Rensselaer (RPI),https://questionnaires.armssoftware.com/e23cea564fb8
Rhodes,https://rhodeslynx.com/sb_output.aspx?form=14
Rochester (NY),https://my.armssoftware.com/arms/public/questionnaire/92a4ac084b87
Rowan,https://my.armssoftware.com/arms/public/questionnaire/2f00fbda3246
Salisbury,https://questionnaires.armssoftware.com/d89de0126880
Salve Regina (RI),https://salveathletics.com/sports/2024/6/12/salve-regina-football-recruiting-central.aspx
Savannah State,https://ssuathletics.com/sb_output.aspx?form=14
Seton Hill,https://questionnaires.armssoftware.com/2f616e1c3be6
Sewanee,https://questionnaires.armssoftware.com/f9d11f21fdaf
Slippery Rock,http://my.armssoftware.com/arms/public/questionnaire/fb8dedf49547
SMU,https://questionnaires.armssoftware.com/af6eb6d29764
South Dakota Mines,https://questionnaires.armssoftware.com/9e6e56c53cc9
Southern Arkansas,https://muleriderathletics.com/sb_output.aspx?form=23
Southern Virginia,https://questionnaires.armssoftware.com/d667618859a2
Southwest Minnesota State,https://smsumustangs.com/sb_output.aspx?form=24
Southwestern Oklahoma State,https://swosuathletics.com/sb_output.aspx?form=4
Springfield (MA),https://springfieldcollegepride.com/sports/2023/11/7/football-recruitments.aspx
St. John Fisher,https://questionnaires.armssoftware.com/c76435dfd40a
St. Lawrence,https://saintsathletics.com/sports/2020/8/25/football-recruits
St. Norbert,https://explore.snc.edu/register/footballrecruitingquestionnaire
St. Olaf,https://athletics.stolaf.edu/sb_output.aspx?form=95
Sul Ross State,https://questionnaires.armssoftware.com/541779241e8d
SUNY Morrisville,https://docs.google.com/forms/d/e/1FAIpQLSdtI17ucYkgaGS7EJgx767FCfYxQEdTATYDE1wRQvBezGhVYQ/viewform?usp=publish-editor
Syracuse,https://questionnaires.armssoftware.com/a413b021b677
Texas A&M-Kingsville,https://javelinaathletics.com/sb_output.aspx?form=32
Texas State,https://txst.com/sb_output.aspx?form=26
Thomas More,https://questionnaires.armssoftware.com/eeff89b47200
Tiffin,https://questionnaires.armssoftware.com/4850cce650f7
Trinity (CT),https://questionnaires.armssoftware.com/018957175dc6
Tufts,http://my.armssoftware.com/arms/public/questionnaire/938619048f90
UMass Dartmouth,http://my.armssoftware.com/arms/public/questionnaire/0a7abc0a81e8
Union (NY),https://unionathletics.com/sports/2022/2/2/union-football-recruiting-central.aspx
University of New England (ME),https://questionnaires.armssoftware.com/3368ea3cabc9
USC,https://my.armssoftware.com/arms/public/questionnaire/b91abe2ae0c8
UT Permian Basin,https://questionnaires.armssoftware.com/d77d8c6322a0
Utah,https://questionnaires.armssoftware.com/c15fb5f63631
UTSA,https://questionnaires.armssoftware.com/1a6c084f40d1
UVA Wise,https://questionnaires.armssoftware.com/eec45aac8ae5
UW-Eau Claire,https://questionnaires.armssoftware.com/b041e6431d34
UW-Platteville,https://letsgopioneers.com/sports/2025/6/5/uw-platteville-football-recruit-questionnaire.aspx
UW-Stevens Point,https://athletics.uwsp.edu/sb_output.aspx?form=26
UW-Stout,https://stoutbluedevils.com/sb_output.aspx?form=42
Virginia Union,https://vuusports.com/sb_output.aspx?form=3
Wake Forest,https://questionnaires.armssoftware.com/b35995e9775c
Walsh,https://athletics.walsh.edu/sb_output.aspx?form=4
Washington and Lee,https://my.armssoftware.com/arms/public/questionnaire/102524f8b7ed
Washington University in St. Louis,https://washubears.com/sb_output.aspx?form=3
Wesleyan (CT),http://my.armssoftware.com/arms/public/questionnaire/eba62f2ede99
West Alabama,https://questionnaires.armssoftware.com/a0c5b8874e91
West Chester,https://questionnaires.armssoftware.com/023ce109bb90
West Liberty,https://hilltoppersports.com/sb_output.aspx?form=3
West Virginia State,https://wvsuyellowjackets.com/sb_output.aspx?form=29
Western Colorado,http://my.armssoftware.com/arms/public/questionnaire/9cb22f20110b
Western New England (MA),https://wnegoldenbears.com/sb_output.aspx?form=5
Western Oregon,https://wouwolves.com/sb_output.aspx?form=89
Whitworth,https://questionnaires.armssoftware.com/f62f34846591
Wilkes,https://questionnaires.armssoftware.com/26ecdfcab8c3
William Jewell,https://questionnaires.armssoftware.com/00d4ac0b07e8
Williams,https://questionnaires.armssoftware.com/c2f11e14031e
Wilmington (OH),https://questionnaires.armssoftware.com/a17aa8f578b8
Wingate,http://my.armssoftware.com/arms/public/questionnaire/32fa944328f7
Wisconsin,https://questionnaires.armssoftware.com/73384a600a7f
